R-squared accuracy, MSE, Training Iterations, Loss
0.7633337989186658,0.00383557984859238,1081,0.001878257106026621
0.808148167647893,0.0030394122879237317,446,0.0021243704843276153
0.8084557051543386,0.003049327215103588,305,0.002162793458761032
0.7864778531400511,0.003387568050941046,563,0.0020081420114368737
0.8047638265441134,0.0030159701341308993,808,0.0019073286224333616
0.8217079863176957,0.0027661453028066485,769,0.0018826717811125653
0.8165627178732637,0.0029092859862589106,805,0.002038323617108158
0.7993833396552316,0.0030958961837653197,1017,0.0017602739267824278
0.7928661293539592,0.0032462599100116785,995,0.0018069059615080766
0.8225944317472211,0.002772739819795612,1005,0.0018669427806819162
0.8157714213127996,0.002939204728294881,221,0.0022523984183026656
0.8084557051543386,0.003049327215103588,305,0.002162793458761032
0.8230275175932159,0.0027613258430591284,522,0.0020069375008498597
0.8115021843904382,0.0029336356187040424,734,0.0019481112984921357
0.78245302486037,0.0033990478572815956,931,0.0018623867427439056
0.8080386756732475,0.0030840828657445864,543,0.00218308288269551
0.7793415883781609,0.003454975845617198,1053,0.0017705474512531346
0.8197640192731203,0.0027928384926884093,666,0.0019385558956848637
0.8153521574084127,0.002845864307297773,646,0.0019257478423556275
0.8051581399314407,0.003083182104165704,443,0.0019800624637061363
0.7843885222539164,0.0033798643759642894,479,0.002102957389704632
0.7905637752820951,0.003208464596934417,1175,0.0017731056302743092
0.7883601262333677,0.003374007384562228,566,0.001984165364021611
0.8249677242310999,0.002806721946717364,348,0.0021605522594680343
0.8132789794816502,0.0029700767407212533,624,0.002203063308874208
0.8007764054326082,0.0031222060262584834,575,0.002126418597761895
0.824991258817651,0.002751318146379776,87,0.0027386108914219712
0.7924329796296408,0.003290245035444726,1248,0.0017598433320310726
0.798234751434165,0.0031553372358653965,766,0.0018290361602192136
0.7856808645077873,0.0033228953217636506,1105,0.0017662130345475289
0.8025446912217693,0.0031259032190583437,327,0.0021776075375337742
0.8100410983801553,0.0030438372589020033,295,0.0022452227448415863
0.7846405227764961,0.003445708402735449,510,0.002080443063472208
0.7952441429839419,0.003199593619759389,1061,0.001836433287500493
0.8108401086634589,0.0030136900998468685,358,0.0021721965155899596
0.8011850331816671,0.003156083721811927,472,0.002108505423085652
